task,ptask,optimal_lambda,min_mse_loss
0,2,1000000.0,0.00057413214
0,2,100.0,2.0770107e-05
1,2,1000000.0,0.0008668713
1,2,1000000.0,0.00046707666
2,3,10000000.0,0.0053678155
2,3,1000.0,0.0009661919
2,3,1000000.0,0.0005090031
3,5,10000000.0,0.0053678136
3,5,1000.0,0.00096619164
3,5,10000.0,0.0008783557
3,5,1000000.0,0.0006657303
3,5,100.0,0.00015649815
4,6,10000000.0,0.0053678146
4,6,1000.0,0.00096619147
4,6,10000.0,0.00087835576
4,6,1000000.0,0.00039810178
4,6,1000000.0,0.000550214
4,6,100.0,2.4450026e-05
5,7,10000000.0,0.005367813
5,7,1000.0,0.0009661915
5,7,10000.0,0.00087835547
5,7,10000000.0,0.008000739
5,7,1000000.0,0.00065023446
5,7,1000000.0,0.00036722005
5,7,100000.0,3.3583354e-05
6,8,10000000.0,0.005367813
6,8,1000.0,0.0009661915
6,8,10000.0,0.0008783557
6,8,10000000.0,0.008000741
6,8,1000000.0,0.0050040637
6,8,1000.0,0.00047074974
6,8,1000000.0,0.000700067
6,8,10000.0,4.0203972e-06
7,9,10000000.0,0.005367813
7,9,1000.0,0.0009661913
7,9,10000.0,0.0008783555
7,9,10000000.0,0.008000741
7,9,1000000.0,0.005004062
7,9,10000000.0,0.007947587
7,9,100000.0,0.00074798596
7,9,1000000.0,0.00051396893
7,9,1000.0,1.7761658e-05
8,10,10000000.0,0.00536781
8,10,1000.0,0.0009661915
8,10,10000.0,0.0008783557
8,10,10000000.0,0.00800074
8,10,1000000.0,0.005004062
8,10,10000000.0,0.007947589
8,10,1000000.0,0.004997665
8,10,1000000.0,0.00041032303
8,10,1000000.0,0.00060732546
8,10,1000.0,1.2950904e-05
9,11,10000000.0,0.0053678136
9,11,1000.0,0.0009661914
9,11,10000.0,0.00087835564
9,11,10000000.0,0.008000739
9,11,1000000.0,0.005004064
9,11,10000000.0,0.007947587
9,11,1000000.0,0.004997665
9,11,1000000.0,0.004815232
9,11,1000000.0,0.0004012229
9,11,1000000.0,0.0006622712
9,11,100000.0,0.00020788837
