task,ptask,optimal_lambda,min_mse_loss
0,1,1000000.0,0.00075192045
1,3,100000.0,0.00072152837
1,3,1000000.0,0.00095635484
1,3,1000000.0,0.00036048802
2,4,100000.0,0.00072152814
2,4,1000000.0,0.0005440132
2,4,1000000.0,0.0005189548
2,4,10000.0,1.0981499e-05
3,5,100000.0,0.0007215284
3,5,1000.0,0.0018787062
3,5,1000000.0,0.0010915458
3,5,1000000.0,0.0006727458
3,5,10000.0,9.005676e-06
4,5,100000.0,0.0007215282
4,5,1000.0,0.0018787059
4,5,10000000.0,0.0051875105
4,5,1000000.0,0.0004824047
4,5,1000000.0,0.0006419244
5,6,100000.0,0.0007215282
5,6,1000.0,0.001878706
5,6,10000000.0,0.00518751
5,6,1000000.0,0.0048842197
5,6,100000.0,0.0006150982
5,6,1000000.0,0.00059590465
6,7,100000.0,0.00072152773
6,7,1000.0,0.0018787059
6,7,10000000.0,0.0051875087
6,7,1000000.0,0.004884219
6,7,100000.0,0.0006150983
6,7,1000.0,0.0008129439
6,7,1000000.0,0.0008054513
7,8,100000.0,0.000721528
7,8,1000.0,0.0018787063
7,8,10000000.0,0.00518751
7,8,1000000.0,0.004884221
7,8,100000.0,0.0006150985
7,8,1000.0,0.0008129438
7,8,100.0,0.00092476123
7,8,1000000.0,0.0005627444
8,10,100000.0,0.00072152796
8,10,1000.0,0.0018787065
8,10,10000000.0,0.0051875096
8,10,1000000.0,0.0048842197
8,10,100000.0,0.0006150983
8,10,1000.0,0.0008129439
8,10,100.0,0.0009247611
8,10,100000.0,0.00067580317
8,10,1000000.0,0.0005187179
8,10,100.0,0.0005847808
9,11,100000.0,0.0007215283
9,11,1000.0,0.0018787059
9,11,10000000.0,0.0051875105
9,11,1000000.0,0.0048842193
9,11,100000.0,0.0006150981
9,11,1000.0,0.00081294385
9,11,100.0,0.0009247611
9,11,100000.0,0.0006758033
9,11,1000000.0,0.00042117477
9,11,1000000.0,0.000626295
9,11,10000.0,1.2291613e-05
