task,ptask,optimal_lambda,min_mse_loss
0,2,100000.0,0.000352171
0,2,100.0,0.00027787287
1,4,1000000.0,0.00034370716
1,4,1000000.0,0.00022623054
1,4,1000.0,0.0003556693
1,4,10000.0,6.247152e-06
2,4,100.0,0.004012929
2,4,1000000.0,0.00027753497
2,4,1000000.0,0.00029939896
2,4,100000.0,0.00021163818
3,5,100.0,0.0040129256
3,5,100.0,0.0030868787
3,5,1000000.0,0.00037296646
3,5,1000000.0,0.00026617278
3,5,100.0,0.00010342139
4,6,100.0,0.004012929
4,6,100.0,0.0030868794
4,6,100000000.0,0.0052616475
4,6,1000000.0,0.00017236739
4,6,1000000.0,0.00039093147
4,6,100.0,0.00014836367
5,7,100.0,0.0040129293
5,7,100.0,0.0030868764
5,7,100000000.0,0.0052616475
5,7,10000000.0,0.0044451547
5,7,1000000.0,0.00021831706
5,7,1000000.0,0.00037723544
5,7,1000.0,5.609421e-05
6,9,100.0,0.004012928
6,9,100.0,0.0030868761
6,9,100000000.0,0.005261648
6,9,10000000.0,0.004445152
6,9,10000000.0,0.0045239185
6,9,1000000.0,0.00017680359
6,9,1000000.0,0.00030620088
6,9,1000.0,0.00021650348
6,9,10000.0,1.0561078e-05
7,11,100.0,0.0040129283
7,11,100.0,0.0030868775
7,11,100000000.0,0.0052616494
7,11,10000000.0,0.004445154
7,11,10000000.0,0.004523923
7,11,10000000.0,0.00459521
7,11,1000000.0,0.00021242173
7,11,100000.0,0.00040522558
7,11,100000.0,0.00022426002
7,11,1000.0,1.4667891e-05
7,11,1000.0,1.0519386e-05
8,13,100.0,0.0040129293
8,13,100.0,0.0030868782
8,13,100000000.0,0.0052616494
8,13,10000000.0,0.004445153
8,13,10000000.0,0.004523924
8,13,10000000.0,0.0045952112
8,13,100.0,0.0010900339
8,13,1000000.0,0.00030447936
8,13,1000000.0,0.00031552897
8,13,100.0,3.4447923e-05
8,13,1000.0,5.165883e-05
8,13,10000.0,2.2673177e-05
8,13,100.0,6.666594e-06
9,14,100.0,0.0040129274
9,14,100.0,0.0030868792
9,14,100000000.0,0.0052616484
9,14,10000000.0,0.004445154
9,14,10000000.0,0.0045239227
9,14,10000000.0,0.0045952094
9,14,100.0,0.0010900341
9,14,100.0,0.0013281702
9,14,1000000.0,0.00028040336
9,14,1000000.0,0.00020761818
9,14,100.0,0.00015008247
9,14,1.0,1.5695088e-05
9,14,1000.0,2.5920805e-05
9,14,10.0,1.3555073e-05
