task,ptask,optimal_lambda,min_mse_loss
0,1,1000000.0,0.00031127856
1,3,1000.0,0.0007020415
1,3,1000000.0,0.00032831504
1,3,1000.0,2.7367973e-05
2,5,1000.0,0.00070204155
2,5,100000.0,0.00033550808
2,5,1000000.0,0.00033127493
2,5,100.0,0.00015194666
2,5,10000000.0,1.9567959e-05
3,6,1000.0,0.0007020416
3,6,10000000.0,0.004495616
3,6,1000000.0,0.00024496653
3,6,1000000.0,0.00022552678
3,6,1000000.0,0.00027168065
3,6,1000.0,0.00010288766
4,7,1000.0,0.00070204184
4,7,10000000.0,0.0044956175
4,7,1000.0,0.0007717177
4,7,100000.0,0.00020862519
4,7,1000000.0,0.00026087355
4,7,100000.0,0.00016875155
4,7,1000.0,4.371765e-06
5,7,1000.0,0.00070204184
5,7,10000000.0,0.00449562
5,7,1000.0,0.0007717174
5,7,1000.0,0.0032725655
5,7,1000000.0,0.00033638367
5,7,1000000.0,0.00030677737
5,7,100.0,0.00042135603
6,10,1000.0,0.0007020414
6,10,10000000.0,0.0044956147
6,10,1000.0,0.00077171787
6,10,1000.0,0.003272565
6,10,1000.0,0.0021577042
6,10,1000000.0,0.00022301511
6,10,1000000.0,0.0001824796
6,10,1000.0,4.8064758e-05
6,10,100.0,1.0540165e-05
6,10,100.0,1.26804825e-05
7,11,1000.0,0.0007020418
7,11,10000000.0,0.0044956156
7,11,1000.0,0.0007717182
7,11,1000.0,0.0032725646
7,11,1000.0,0.002157705
7,11,1000.0,0.0008253069
7,11,1000000.0,0.00035032578
7,11,1000000.0,0.00035737842
7,11,1.0,4.7908193e-06
7,11,1000.0,2.634123e-05
7,11,10000.0,2.2495522e-05
8,12,1000.0,0.0007020417
8,12,10000000.0,0.004495618
8,12,1000.0,0.0007717174
8,12,1000.0,0.0032725632
8,12,1000.0,0.0021577065
8,12,1000.0,0.00082530745
8,12,100000000.0,0.0052071027
8,12,1000000.0,0.00040615938
8,12,1000000.0,0.00032869898
8,12,1000.0,2.634123e-05
8,12,1000.0,2.1724523e-05
8,12,100.0,6.977941e-06
9,12,1000.0,0.0007020419
9,12,10000000.0,0.0044956165
9,12,1000.0,0.00077171734
9,12,1000.0,0.0032725644
9,12,1000.0,0.0021577047
9,12,1000.0,0.00082530774
9,12,100000000.0,0.0052071027
9,12,10000000.0,0.0043576593
9,12,100000.0,0.00030053913
9,12,1000000.0,0.00030523277
9,12,1000.0,2.1724523e-05
9,12,1000000.0,0.00032507104
