task,ptask,optimal_lambda,min_mse_loss
0,1,1000000.0,0.000686201
1,3,1000000.0,0.00074744364
1,3,1000000.0,0.0006495315
1,3,10000.0,5.889228e-06
2,4,1000000.0,0.00074744393
2,4,1000000.0,0.001292423
2,4,1000000.0,0.00073177175
2,4,1000000.0,0.0003680664
3,5,1000000.0,0.0007474442
3,5,10000000.0,0.0064630066
3,5,1000000.0,0.00071662373
3,5,1000000.0,0.00087567966
3,5,10000.0,1.1451847e-05
4,6,1000000.0,0.00074744393
4,6,10000000.0,0.006463012
4,6,1000000.0,0.0016387044
4,6,10000000.0,0.0006397385
4,6,1000000.0,0.0005373242
4,6,1000000.0,0.00029225764
5,7,1000000.0,0.0007474437
5,7,10000000.0,0.006463001
5,7,1000000.0,0.0016387041
5,7,10000000.0,0.0067029274
5,7,1000000.0,0.0005804087
5,7,1000000.0,0.00072844565
5,7,1000000.0,0.00047122955
6,8,1000000.0,0.0007474438
6,8,10000000.0,0.0064630047
6,8,1000000.0,0.0016387039
6,8,10000000.0,0.006702926
6,8,100000000.0,0.011430307
6,8,1000000.0,0.00034134212
6,8,1000000.0,0.0007343288
6,8,1000000.0,0.00022809075
7,9,1000000.0,0.00074744393
7,9,10000000.0,0.006463003
7,9,1000000.0,0.0016387043
7,9,10000000.0,0.0067029246
7,9,100000000.0,0.011430315
7,9,1000000.0,0.0009554241
7,9,1000000.0,0.0009679862
7,9,1000000.0,0.00051106594
7,9,100000.0,0.00011927763
8,10,1000000.0,0.0007474433
8,10,10000000.0,0.0064630047
8,10,1000000.0,0.0016387051
8,10,10000000.0,0.006702925
8,10,100000000.0,0.0114303045
8,10,1000000.0,0.0009554247
8,10,1000000.0,0.00191594
8,10,1000000.0,0.00065304496
8,10,1000000.0,0.00057964475
8,10,1000.0,0.00015920344
9,11,1000000.0,0.00074744324
9,11,10000000.0,0.006463005
9,11,1000000.0,0.0016387046
9,11,10000000.0,0.006702926
9,11,100000000.0,0.011430309
9,11,1000000.0,0.0009554245
9,11,1000000.0,0.0019159397
9,11,100000000.0,0.0116556
9,11,1000000.0,0.00071287947
9,11,1000000.0,0.00038491024
9,11,100000.0,0.00033201065
