task,ptask,optimal_lambda,min_mse_loss
0,3,1000000.0,0.0007390328
0,3,10000.0,8.158629e-06
0,3,10000.0,7.789514e-06
1,3,1000000.0,0.0007494718
1,3,1000000.0,0.0006775786
1,3,1000000.0,0.0005246084
2,4,100000000.0,0.0114329085
2,4,1000000.0,0.00057493587
2,4,1000000.0,0.00022525508
2,4,100000.0,0.00023540344
3,5,100000000.0,0.011432903
3,5,1000000.0,0.0010811635
3,5,1000000.0,0.0005348348
3,5,1000000.0,0.0005923465
3,5,1000000.0,0.0003103868
4,6,100000000.0,0.011432904
4,6,1000000.0,0.0010811634
4,6,100000.0,0.0015991922
4,6,1000000.0,0.0006023218
4,6,1000000.0,0.00029698873
4,6,1000000.0,0.000552314
5,8,100000000.0,0.011432905
5,8,1000000.0,0.0010811646
5,8,100000.0,0.0015991926
5,8,1000000.0,0.0013883935
5,8,1000000.0,0.00061019405
5,8,1000000.0,0.0007371966
5,8,100000.0,0.00020024204
5,8,10000.0,7.584103e-06
6,8,100000000.0,0.011432897
6,8,1000000.0,0.001081164
6,8,100000.0,0.0015991909
6,8,1000000.0,0.001388393
6,8,1000000.0,0.0016304544
6,8,1000000.0,0.0007235112
6,8,1000000.0,0.0004316042
6,8,1000000.0,0.00015424244
7,10,100000000.0,0.011432895
7,10,1000000.0,0.0010811642
7,10,100000.0,0.0015991915
7,10,1000000.0,0.0013883938
7,10,1000000.0,0.0016304539
7,10,1000000.0,0.0017277973
7,10,1000000.0,0.000852532
7,10,1000000.0,0.000541135
7,10,1000000.0,0.0001910196
7,10,1000000.0,0.00019715306
8,11,100000000.0,0.011432905
8,11,1000000.0,0.0010811647
8,11,100000.0,0.0015991912
8,11,1000000.0,0.0013883923
8,11,1000000.0,0.0016304551
8,11,1000000.0,0.0017277962
8,11,100000000.0,0.011692115
8,11,1000000.0,0.00043288607
8,11,1000000.0,0.0008431719
8,11,1000000.0,0.0003158026
8,11,10000.0,5.903317e-06
9,11,100000000.0,0.011432901
9,11,1000000.0,0.0010811641
9,11,100000.0,0.0015991913
9,11,1000000.0,0.0013883933
9,11,1000000.0,0.0016304544
9,11,1000000.0,0.0017277972
9,11,100000000.0,0.011692122
9,11,1000000.0,0.001002472
9,11,1000000.0,0.0005219824
9,11,1000000.0,0.000880296
9,11,1000000.0,5.816734e-05
