task,ptask,optimal_lambda,min_mse_loss
0,3,1000000.0,0.00020619182
0,3,1000000.0,0.00017738229
0,3,1000000.0,3.076246e-05
1,4,1000000.0,0.0003293601
1,4,1000000.0,0.00020264897
1,4,1000000.0,0.00015330834
1,4,1000000.0,6.4998974e-05
2,10,1000000.0,0.0006049209
2,10,1000000.0,0.00020329161
2,10,10000000.0,0.0001925675
2,10,1000000.0,9.522334e-05
2,10,1000000.0,0.00012461492
2,10,1000000.0,3.4454053e-05
2,10,1000.0,4.0594955e-06
2,10,1000.0,3.1107e-06
2,10,10000.0,1.2110535e-06
2,10,10000.0,3.2054386e-06
3,15,1000000.0,0.00060492125
3,15,1000000.0,0.00036244877
3,15,10000000.0,0.00026399986
3,15,1000000.0,9.898243e-05
3,15,1000000.0,0.00016215636
3,15,100000.0,3.891106e-05
3,15,1000000.0,5.1633826e-05
3,15,1000000.0,4.1255345e-05
3,15,1000.0,9.80366e-06
3,15,1000.0,2.0487025e-05
3,15,10000.0,2.002556e-06
3,15,1000.0,2.4582662e-06
3,15,100000.0,2.1811886e-06
3,15,10000.0,1.3569173e-06
3,15,1000.0,2.5119825e-06
4,16,1000000.0,0.0006049199
4,16,1000000.0,0.0006693628
4,16,1000000.0,0.00029796004
4,16,1000000.0,0.00024232075
4,16,100000.0,0.0002866527
4,16,1000000.0,3.0012612e-05
4,16,1000000.0,2.2974751e-05
4,16,10000.0,0.000118009324
4,16,1000000.0,4.9081315e-05
4,16,1000.0,2.0487025e-05
4,16,100.0,9.586573e-06
4,16,10000.0,2.6778378e-06
4,16,10000.0,7.693149e-06
4,16,100.0,1.658372e-05
4,16,1000.0,3.0732388e-06
4,16,10000.0,1.4954056e-05
5,19,1000000.0,0.0006049197
5,19,1000000.0,0.000669363
5,19,1000000.0,0.0002929133
5,19,1000000.0,0.00028669604
5,19,1000000.0,0.00019408048
5,19,10000.0,0.00014017217
5,19,100.0,6.332331e-05
5,19,1000000.0,4.182652e-05
5,19,100.0,0.00015986955
5,19,1000000.0,3.2508167e-05
5,19,1000000.0,2.1239408e-05
5,19,10000.0,2.6778378e-06
5,19,10000.0,7.693149e-06
5,19,100.0,1.658372e-05
5,19,1000.0,3.0732388e-06
5,19,10000.0,2.875706e-06
5,19,10000.0,2.3527527e-06
5,19,10000.0,6.164171e-06
5,19,1000.0,6.236555e-06
6,22,1000000.0,0.00060492236
6,22,1000000.0,0.00066936313
6,22,100000.0,0.0024126691
6,22,1000000.0,0.00025278123
6,22,1000000.0,0.00016278581
6,22,1000000.0,7.259486e-05
6,22,1000000.0,0.000101452526
6,22,100000.0,0.00010580147
6,22,1000000.0,1.8155382e-05
6,22,10000.0,0.00015835425
6,22,1000000.0,0.00018826911
6,22,10000.0,2.6778375e-06
6,22,10000.0,7.693149e-06
6,22,100.0,1.658372e-05
6,22,1000.0,3.0732383e-06
6,22,10000.0,2.8757058e-06
6,22,10000.0,9.690727e-06
6,22,100.0,1.1307332e-05
6,22,1000.0,5.8116893e-06
6,22,10000.0,2.951884e-06
6,22,10000.0,1.1412034e-06
6,22,10000.0,9.239364e-07
7,29,1000000.0,0.0006049215
7,29,1000000.0,0.000669364
7,29,100000.0,0.002412669
7,29,1000000.0,0.00056147604
7,29,1000000.0,0.00028989575
7,29,100000.0,7.843714e-05
7,29,100000.0,0.0001653972
7,29,100000.0,0.00010580143
7,29,1000000.0,8.142965e-05
7,29,10000.0,0.00015835425
7,29,1000000.0,0.0001882691
7,29,10000.0,2.6778375e-06
7,29,10000.0,7.693148e-06
7,29,100.0,1.658372e-05
7,29,1000.0,3.0732385e-06
7,29,10000.0,2.875706e-06
7,29,10000.0,9.690728e-06
7,29,100.0,1.1307331e-05
7,29,1000.0,5.8116884e-06
7,29,1000.0,5.780378e-06
7,29,1000.0,6.263532e-06
7,29,1000.0,8.113343e-07
7,29,10000.0,1.2482016e-06
7,29,10000.0,1.6755776e-06
7,29,10000.0,1.8886418e-06
7,29,10000.0,1.5909549e-06
7,29,10000.0,1.735382e-06
7,29,1000.0,1.9750225e-06
7,29,10000.0,1.57159e-06
8,34,1000000.0,0.0006049219
8,34,1000000.0,0.0006693635
8,34,100000.0,0.0024126677
8,34,1000000.0,0.00056147715
8,34,1000000.0,0.00060447573
8,34,1000000.0,0.0002677824
8,34,1000000.0,0.0002070683
8,34,100000.0,9.060243e-05
8,34,100.0,0.0003769167
8,34,1000000.0,3.050308e-05
8,34,1000000.0,3.014354e-05
8,34,1000.0,4.6567162e-05
8,34,10000.0,7.693149e-06
8,34,100.0,1.658372e-05
8,34,1000.0,3.0732388e-06
8,34,10000.0,2.8757058e-06
8,34,10000.0,9.690727e-06
8,34,100.0,1.1307331e-05
8,34,1000.0,5.8116884e-06
8,34,1000.0,5.7803777e-06
8,34,1000.0,6.2635318e-06
8,34,1000.0,8.1133425e-07
8,34,10000.0,2.3686712e-06
8,34,1000.0,1.8003569e-06
8,34,1000.0,8.201153e-06
8,34,100.0,1.902614e-06
8,34,10000.0,4.802272e-06
8,34,100.0,7.740455e-06
8,34,10000.0,3.4000327e-06
8,34,10000.0,2.4625783e-06
8,34,10000.0,1.3476949e-06
8,34,10000.0,3.813714e-06
8,34,10000.0,1.3044087e-06
8,34,10000.0,4.1134363e-06
9,41,1000000.0,0.0006049207
9,41,1000000.0,0.0006693627
9,41,100000.0,0.0024126743
9,41,1000000.0,0.0005614756
9,41,1000000.0,0.0014175797
9,41,1000000.0,0.00023405033
9,41,10000000.0,0.0002673782
9,41,10000.0,8.9466725e-05
9,41,1000000.0,9.817586e-05
9,41,10000.0,4.873188e-05
9,41,1000000.0,0.000103652936
9,41,1000000.0,0.00023267367
9,41,1000000.0,3.5093195e-05
9,41,100.0,1.6583721e-05
9,41,1000.0,3.0732385e-06
9,41,10000.0,2.8757058e-06
9,41,10000.0,9.690727e-06
9,41,100.0,1.1307331e-05
9,41,1000.0,5.8116893e-06
9,41,1000.0,5.7803777e-06
9,41,1000.0,6.2635318e-06
9,41,1000.0,8.1133425e-07
9,41,10000.0,2.3686714e-06
9,41,1000.0,1.8003572e-06
9,41,1000.0,8.201153e-06
9,41,100.0,1.902614e-06
9,41,10000.0,4.802272e-06
9,41,100.0,7.740455e-06
9,41,10000.0,3.4000323e-06
9,41,100000.0,3.721311e-06
9,41,10000.0,5.547032e-06
9,41,1000.0,3.6340818e-05
9,41,1000.0,7.517035e-06
9,41,100.0,8.545249e-06
9,41,1000.0,1.3933904e-06
9,41,10000.0,2.0467542e-06
9,41,100000.0,2.092156e-06
9,41,1000.0,3.3923204e-06
9,41,10000.0,1.109049e-06
9,41,10000.0,1.5362828e-06
9,41,10000.0,1.2637886e-06
