current_task,evaluated_task,accuracy,id_accuracy
0,0,0.953125,0.9615384615384616
1,0,0.9482421875,0.9531772575250836
1,1,0.93798828125,0.949748743718593
2,0,0.92626953125,0.9331103678929766
2,1,0.93994140625,0.9514237855946399
2,2,0.74560546875,0.7587939698492462
3,0,0.93994140625,0.9464882943143813
3,1,0.9365234375,0.9514237855946399
3,2,0.75390625,0.7671691792294807
3,3,0.7890625,0.8076923076923077
4,0,0.931640625,0.9464882943143813
4,1,0.9296875,0.949748743718593
4,2,0.7470703125,0.7688442211055276
4,3,0.77587890625,0.7976588628762542
4,4,0.9150390625,0.9432387312186978
5,0,0.9296875,0.9431438127090301
5,1,0.9345703125,0.9547738693467337
5,2,0.73876953125,0.7554438860971524
5,3,0.7841796875,0.81438127090301
5,4,0.90966796875,0.9398998330550918
5,5,0.9248046875,0.9433333333333334
6,0,0.92626953125,0.9414715719063546
6,1,0.9345703125,0.9547738693467337
6,2,0.74853515625,0.7654941373534339
6,3,0.75927734375,0.7876254180602007
6,4,0.9013671875,0.9332220367278798
6,5,0.91357421875,0.935
6,6,0.91650390625,0.9265442404006677
7,0,0.931640625,0.9431438127090301
7,1,0.93310546875,0.949748743718593
7,2,0.73046875,0.7470686767169179
7,3,0.7841796875,0.8110367892976589
7,4,0.90673828125,0.9382303839732888
7,5,0.91357421875,0.935
7,6,0.9150390625,0.9248747913188647
7,7,0.86328125,0.8764607679465777
8,0,0.9296875,0.9431438127090301
8,1,0.93310546875,0.949748743718593
8,2,0.7421875,0.7587939698492462
8,3,0.77783203125,0.8043478260869565
8,4,0.896484375,0.9282136894824707
8,5,0.91162109375,0.9316666666666666
8,6,0.9267578125,0.9382303839732888
8,7,0.85791015625,0.8764607679465777
8,8,0.830078125,0.8433333333333334
9,0,0.931640625,0.9464882943143813
9,1,0.93310546875,0.949748743718593
9,2,0.74365234375,0.7604690117252931
9,3,0.779296875,0.8076923076923077
9,4,0.90478515625,0.9365609348914858
9,5,0.91015625,0.93
9,6,0.919921875,0.9298831385642737
9,7,0.861328125,0.8797996661101837
9,8,0.83154296875,0.8516666666666667
9,9,0.84130859375,0.8545150501672241
