current_task,evaluated_task,accuracy,id_accuracy
0,0,0.9248046875,0.939799331103679
1,0,0.92138671875,0.9464882943143813
1,1,0.9296875,0.9414715719063546
2,0,0.90625,0.9364548494983278
2,1,0.9130859375,0.9297658862876255
2,2,0.8359375,0.8511705685618729
3,0,0.9111328125,0.9381270903010034
3,1,0.91455078125,0.931438127090301
3,2,0.8330078125,0.8545150501672241
3,3,0.91650390625,0.9214046822742475
4,0,0.908203125,0.9364548494983278
4,1,0.90966796875,0.9280936454849499
4,2,0.83935546875,0.8511705685618729
4,3,0.90625,0.919732441471572
4,4,0.955078125,0.97
5,0,0.9130859375,0.9414715719063546
5,1,0.91650390625,0.9347826086956522
5,2,0.8193359375,0.8377926421404682
5,3,0.90478515625,0.9163879598662207
5,4,0.94482421875,0.965
5,5,0.84130859375,0.8597662771285476
6,0,0.90966796875,0.9381270903010034
6,1,0.908203125,0.9247491638795987
6,2,0.82763671875,0.842809364548495
6,3,0.9111328125,0.9247491638795987
6,4,0.9501953125,0.9683333333333334
6,5,0.83984375,0.8631051752921536
6,6,0.859375,0.8712374581939799
7,0,0.90966796875,0.9381270903010034
7,1,0.90966796875,0.9280936454849499
7,2,0.826171875,0.8411371237458194
7,3,0.89990234375,0.9163879598662207
7,4,0.9501953125,0.97
7,5,0.83154296875,0.8564273789649416
7,6,0.84619140625,0.8578595317725752
7,7,0.81494140625,0.8283333333333334
8,0,0.90625,0.9331103678929766
8,1,0.9130859375,0.9331103678929766
8,2,0.8193359375,0.8394648829431438
8,3,0.90283203125,0.9163879598662207
8,4,0.943359375,0.9633333333333334
8,5,0.83642578125,0.8597662771285476
8,6,0.84423828125,0.8545150501672241
8,7,0.8134765625,0.8283333333333334
8,8,0.8779296875,0.8862876254180602
9,0,0.90283203125,0.9347826086956522
9,1,0.908203125,0.9280936454849499
9,2,0.82763671875,0.8444816053511706
9,3,0.89453125,0.9113712374581939
9,4,0.94189453125,0.9666666666666667
9,5,0.83154296875,0.8631051752921536
9,6,0.84130859375,0.8578595317725752
9,7,0.794921875,0.8333333333333334
9,8,0.86279296875,0.8795986622073578
9,9,0.90283203125,0.9230769230769231
