task,ptask,optimal_lambda,min_mse_loss
0,3,1000000.0,0.0002807657
0,3,1000000.0,7.262804e-05
0,3,1000.0,4.6291902e-06
1,7,1000000.0,0.00026585796
1,7,1000000.0,0.00025289517
1,7,1000000.0,4.6157063e-05
1,7,10000.0,2.8660888e-06
1,7,10000.0,1.8373238e-06
1,7,1000.0,1.4557709e-06
1,7,10000.0,1.8043004e-06
2,13,1000000.0,0.0006129911
2,13,1000000.0,0.00022604624
2,13,1000000.0,0.00014952617
2,13,1000.0,3.2662192e-05
2,13,10000.0,7.3569736e-06
2,13,1000.0,1.5440748e-05
2,13,10000.0,9.420333e-06
2,13,1000.0,4.9780724e-06
2,13,10000.0,2.6537757e-06
2,13,10000.0,2.786395e-06
2,13,10000.0,1.4975778e-06
2,13,1000.0,4.1629846e-06
2,13,1000.0,2.318653e-06
3,15,1000000.0,0.0006129909
3,15,1000000.0,0.0002935751
3,15,1000000.0,0.00016904464
3,15,1000000.0,0.0001600415
3,15,1000000.0,9.049514e-05
3,15,1000.0,4.599573e-05
3,15,1000000.0,4.190988e-05
3,15,10000.0,1.48255185e-05
3,15,1000.0,4.1057247e-06
3,15,100.0,7.2989096e-06
3,15,1000.0,3.879251e-06
3,15,100.0,1.3217264e-06
3,15,1000.0,4.5182605e-06
3,15,1000.0,2.59369e-06
3,15,10000.0,1.6041719e-06
4,17,1000000.0,0.0006129909
4,17,100000.0,0.0006600571
4,17,1000000.0,0.00028811983
4,17,1000000.0,0.00019101193
4,17,1000000.0,0.000100231366
4,17,1000.0,4.5995726e-05
4,17,1000000.0,4.190988e-05
4,17,10000.0,8.924154e-05
4,17,1000.0,1.1929153e-05
4,17,100.0,7.298909e-06
4,17,1000.0,3.879252e-06
4,17,100.0,1.3217264e-06
4,17,1000.0,4.5182605e-06
4,17,100000.0,2.5032175e-06
4,17,1000.0,7.4759e-06
4,17,10000.0,1.4840288e-06
4,17,10000.0,1.7682447e-06
5,21,1000000.0,0.00061299116
5,21,100000.0,0.00066005887
5,21,100000.0,0.00096669694
5,21,1000000.0,0.00024990636
5,21,10000000.0,0.0002377758
5,21,1000.0,4.412389e-05
5,21,10000000.0,6.55718e-05
5,21,10000.0,8.924154e-05
5,21,10000.0,4.293764e-05
5,21,100.0,7.2989096e-06
5,21,1000.0,3.8792514e-06
5,21,100.0,1.3217264e-06
5,21,1000.0,4.5182605e-06
5,21,100000.0,2.5032175e-06
5,21,1000.0,7.4759e-06
5,21,1000.0,1.31783745e-05
5,21,1000.0,3.9791476e-06
5,21,10000.0,1.2559403e-06
5,21,100000.0,1.4268344e-06
5,21,1000.0,2.2137847e-06
5,21,10000.0,1.4078757e-06
6,27,1000000.0,0.0006129922
6,27,100000.0,0.00066005724
6,27,1000000.0,0.0013606863
6,27,1000000.0,0.00026166032
6,27,1000000.0,0.00019681019
6,27,1000000.0,0.00010206259
6,27,100000.0,0.00012414373
6,27,10000.0,8.924154e-05
6,27,10000.0,4.2937645e-05
6,27,10000.0,5.6928943e-06
6,27,1000.0,3.8792514e-06
6,27,100.0,1.3217264e-06
6,27,1000.0,4.5182605e-06
6,27,100000.0,2.5032177e-06
6,27,1000.0,7.4759005e-06
6,27,1000.0,1.31783745e-05
6,27,1000.0,3.9791476e-06
6,27,1000.0,2.4838077e-06
6,27,1000.0,3.4006675e-06
6,27,100.0,2.8774427e-06
6,27,10000.0,2.225397e-06
6,27,10000.0,1.6183972e-06
6,27,10000.0,1.6185097e-06
6,27,10000.0,7.557174e-07
6,27,10000.0,3.5755627e-06
6,27,1000.0,5.5909845e-06
6,27,10000.0,2.6408593e-06
7,34,1000000.0,0.0006129913
7,34,100000.0,0.0006600583
7,34,1000000.0,0.0013606852
7,34,1000000.0,0.0006719127
7,34,1000000.0,0.00030212157
7,34,1000000.0,0.00020414467
7,34,100000.0,0.00012414374
7,34,10000000.0,0.00014737542
7,34,1000000.0,8.5764994e-05
7,34,1000.0,6.75133e-05
7,34,1000.0,3.8792514e-06
7,34,100.0,1.3217264e-06
7,34,1000.0,4.5182605e-06
7,34,100000.0,2.5032175e-06
7,34,1000.0,7.4759e-06
7,34,1000.0,1.31783745e-05
7,34,1000.0,3.979147e-06
7,34,1000.0,2.4838077e-06
7,34,1000.0,3.4006675e-06
7,34,100.0,2.8774427e-06
7,34,10000.0,2.2253969e-06
7,34,100.0,2.1755673e-06
7,34,1000000.0,2.9719113e-06
7,34,1000.0,3.6008878e-06
7,34,10000.0,9.900556e-06
7,34,10000.0,1.3291468e-05
7,34,1000.0,4.1320272e-06
7,34,1000.0,8.231961e-06
7,34,100000.0,2.3158195e-06
7,34,10000.0,2.1983974e-06
7,34,10000.0,1.1422466e-06
7,34,10000.0,1.4935514e-06
7,34,10000.0,5.0659555e-06
7,34,1000.0,1.3943423e-06
8,38,1000000.0,0.0006129912
8,38,100000.0,0.00066005776
8,38,1000000.0,0.0013606859
8,38,1000000.0,0.00067191466
8,38,1000000.0,0.00030435724
8,38,1000000.0,0.0002480199
8,38,1000000.0,0.00012439118
8,38,1000000.0,5.0381896e-05
8,38,1000000.0,6.39266e-05
8,38,1000.0,6.7513276e-05
8,38,1000.0,4.8136724e-05
8,38,100.0,1.3217265e-06
8,38,1000.0,4.5182605e-06
8,38,100000.0,2.5032177e-06
8,38,1000.0,7.4759e-06
8,38,1000.0,1.31783745e-05
8,38,1000.0,3.9791476e-06
8,38,1000.0,2.4838077e-06
8,38,1000.0,3.4006675e-06
8,38,100.0,2.8774427e-06
8,38,10000.0,2.2253969e-06
8,38,100.0,2.175567e-06
8,38,1000000.0,2.9719115e-06
8,38,1000.0,3.600888e-06
8,38,10000.0,9.9005565e-06
8,38,10000.0,1.3291468e-05
8,38,1000.0,4.1320272e-06
8,38,1000.0,6.8052077e-06
8,38,10000.0,2.2007578e-06
8,38,10000.0,3.4372904e-06
8,38,1000.0,3.191069e-06
8,38,1000.0,3.2908076e-06
8,38,1000.0,6.1009587e-06
8,38,1000.0,3.7054726e-06
8,38,100000.0,1.1561098e-06
8,38,10000.0,4.468149e-06
8,38,100000.0,2.5570666e-06
8,38,10000.0,1.9322163e-06
9,40,1000000.0,0.00061298994
9,40,100000.0,0.000660057
9,40,1000000.0,0.0013606865
9,40,1000000.0,0.00067191274
9,40,100000000.0,0.00309564
9,40,1000000.0,0.00032669172
9,40,1000000.0,0.00034959416
9,40,1000000.0,0.00019753496
9,40,100.0,0.0007412722
9,40,10000.0,3.567757e-05
9,40,1000000.0,8.6436856e-05
9,40,1000000.0,3.18925e-05
9,40,1000.0,4.51826e-06
9,40,100000.0,2.5032177e-06
9,40,1000.0,7.4759005e-06
9,40,1000.0,1.3178376e-05
9,40,1000.0,3.9791476e-06
9,40,1000.0,2.4838077e-06
9,40,1000.0,3.4006675e-06
9,40,100.0,2.877443e-06
9,40,10000.0,2.225397e-06
9,40,100.0,2.175567e-06
9,40,1000000.0,2.971911e-06
9,40,1000.0,3.6008878e-06
9,40,10000.0,9.9005565e-06
9,40,10000.0,1.3291468e-05
9,40,1000.0,4.1320277e-06
9,40,1000.0,6.8052077e-06
9,40,10000.0,2.2007578e-06
9,40,10000.0,3.4372902e-06
9,40,1000.0,3.191069e-06
9,40,1000.0,3.2908076e-06
9,40,1000.0,6.100958e-06
9,40,1000.0,3.7054724e-06
9,40,100.0,3.0609046e-06
9,40,100.0,3.1454525e-05
9,40,10000.0,1.311057e-06
9,40,1000.0,1.4132885e-05
9,40,10000.0,3.5866085e-06
9,40,10000.0,1.1638637e-06
